PacmanPos, 6, 1, Ghost0Pos, 7, 7, Ghost1Pos, 4, 1, Ghost2Pos, 3, 3, Ghost3Pos, 4, 5, 
PacmanPos, 6, 1, Ghost0Pos, 6, 7, Ghost1Pos, 3, 1, Ghost2Pos, 4, 3, Ghost3Pos, 4, 4, 
PacmanPos, 6, 1, Ghost0Pos, 5, 7, Ghost1Pos, 2, 1, Ghost2Pos, 4, 4, Ghost3Pos, 5, 4, 
PacmanPos, 6, 1, Ghost0Pos, 5, 6, Ghost1Pos, 1, 1, Ghost2Pos, 5, 4, Ghost3Pos, 5, 3, 
PacmanPos, 6, 1, Ghost0Pos, 4, 6, Ghost1Pos, 1, 2, Ghost2Pos, 5, 5, Ghost3Pos, 4, 3, 
PacmanPos, 7, 1, Ghost0Pos, 4, 7, Ghost1Pos, 1, 3, Ghost2Pos, 5, 6, Ghost3Pos, 4, 4, 
PacmanPos, 6, 1, Ghost0Pos, 3, 7, Ghost1Pos, 1, 4, Ghost2Pos, 4, 6, Ghost3Pos, 5, 4, 
PacmanPos, 6, 1, Ghost0Pos, 3, 8, Ghost1Pos, 1, 5, Ghost2Pos, 4, 7, Ghost3Pos, 5, 3, 
PacmanPos, 6, 1, Ghost0Pos, 3, 9, Ghost1Pos, 1, 6, Ghost2Pos, 3, 7, Ghost3Pos, 6, 3, 
PacmanPos, 6, 1, Ghost0Pos, 4, 9, Ghost1Pos, 1, 7, Ghost2Pos, 3, 8, Ghost3Pos, 6, 2, 
PacmanPos, 9, 1, Ghost0Pos, 8, 7, Ghost1Pos, 9, 7, Ghost2Pos, 10, 7, Ghost3Pos, 11, 7, 
PacmanPos, 8, 1, Ghost0Pos, 7, 7, Ghost1Pos, 9, 8, Ghost2Pos, 10, 8, Ghost3Pos, 10, 7, 
PacmanPos, 7, 1, Ghost0Pos, 6, 7, Ghost1Pos, 10, 8, Ghost2Pos, 9, 8, Ghost3Pos, 10, 8, 
PacmanPos, 6, 1, Ghost0Pos, 5, 7, Ghost1Pos, 10, 7, Ghost2Pos, 9, 9, Ghost3Pos, 10, 9, 
PacmanPos, 6, 1, Ghost0Pos, 4, 7, Ghost1Pos, 9, 7, Ghost2Pos, 9, 10, Ghost3Pos, 10, 10, 
PacmanPos, 6, 1, Ghost0Pos, 4, 6, Ghost1Pos, 9, 8, Ghost2Pos, 10, 10, Ghost3Pos, 9, 10, 
PacmanPos, 6, 1, Ghost0Pos, 3, 6, Ghost1Pos, 9, 9, Ghost2Pos, 10, 9, Ghost3Pos, 9, 11, 
PacmanPos, 6, 1, Ghost0Pos, 3, 7, Ghost1Pos, 10, 9, Ghost2Pos, 9, 9, Ghost3Pos, 8, 11, 
PacmanPos, 6, 1, Ghost0Pos, 4, 7, Ghost1Pos, 10, 8, Ghost2Pos, 9, 8, Ghost3Pos, 7, 11, 
PacmanPos, 6, 1, Ghost0Pos, 5, 7, Ghost1Pos, 10, 7, Ghost2Pos, 10, 8, Ghost3Pos, 6, 11, 
PacmanPos, 6, 1, Ghost0Pos, 6, 7, Ghost1Pos, 9, 7, Ghost2Pos, 10, 9, Ghost3Pos, 6, 10, 
PacmanPos, 6, 1, Ghost0Pos, 6, 6, Ghost1Pos, 9, 8, Ghost2Pos, 9, 9, Ghost3Pos, 6, 9, 
